Quote,Author,Tags
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
"“A day without sunshine is like, you know, night.”",Steve Martin,"Tags:
             
            
            humor
            
            obvious
            
            simile"
